HS2017,SITC2
290715,51236
290719,51236
290721,51236
290722,51236
290723,51236
290729,51236
290811,51237
290819,51237
290891,51237
290892,51237
290899,51237
290911,51611
290919,51611
290920,51611
290930,51611
290941,51611
290943,51611
290944,51611
290949,51611
290950,51611
290960,51611
291010,51613
291020,51614
291030,51619
291040,51619
291050,51619
291090,51619
291100,51612
291211,51621
291212,51621
291219,51621
291221,51621
291229,51621
291241,51621
291242,51621
291249,51621
291250,51621
291260,51621
291300,51622
291411,51623
291412,51624
291413,51629
291419,51629
291422,51629
291423,51629
291429,51629
291431,51629
291439,51629
291440,51629
291450,51629
291461,51629
291462,51629
291469,51629
291471,51629
291479,51629
291511,51379
291512,51379
291513,51379
291521,51371
291524,51379
291529,51371
291531,51372
291532,51372
291533,51372
291536,51372
291539,51372
291540,51379
291550,51379
291560,51379
291570,51379
291590,51379
291611,51379
291612,51379
291613,51373
291614,51373
291615,51379
291616,51379
291619,51379
291620,51379
291631,51379
291632,51379
291634,51379
291639,51379
291711,51389
291712,51389
291713,51389
291714,51381
291719,51389
291720,51389
291732,51383
291733,51389
291734,51389
291735,51382
291736,51389
291737,51384
291739,51389
291811,5139
291812,5139
291813,5139
291814,5139
291815,5139
291816,5139
291817,5139
291818,5139
291819,5139
291821,5139
291822,5139
291823,5139
291829,5139
291830,5139
291891,5139
291899,5139
291910,51631
291990,51631
292011,51639
292019,51639
292021,51639
292022,51639
292023,51639
292024,51639
292029,51639
292030,51639
292090,51639
292111,5145
292112,5145
292113,5145
292114,5145
292119,5145
292121,5145
292122,5145
292129,5145
292130,5145
292141,5145
292142,5145
292143,5145
292144,5145
292145,5145
292146,5145
292149,5145
292151,5145
292159,5145
292211,5146
292212,5146
292214,5146
292215,5146
292216,5146
292217,5146
292218,5146
292219,5146
292221,5146
292229,5146
292231,5146
292239,5146
292241,5146
292242,5146
292243,5146
292244,5146
292249,5146
292250,5146
292310,51481
292320,51481
292330,51481
292340,51481
292390,51481
292411,5147
292412,5147
292419,5147
292421,5147
292423,5147
292424,5147
292425,5147
292429,5147
292511,51482
292512,51482
292519,51482
292521,51482
292529,51482
292610,51483
292620,51484
292630,51484
292640,51484
292690,51484
292700,51485
292800,51486
292910,51489
292990,51489
293020,5154
293030,5154
293040,5154
293060,5154
293070,5154
293080,5154
293090,5154
293110,5155
293120,5155
293131,5155
293132,5155
293133,5155
293134,5155
293135,5155
293136,5155
293137,5155
293138,5155
293139,5155
293190,5155
293211,515
293212,515
293213,515
293214,515
293219,515
293220,51569
293291,515
293292,515
293293,515
293294,515
293295,515
293299,515
293311,51569
293319,51569
293321,5147
293329,51569
293331,51569
293332,51569
293333,51569
293339,51569
293341,51569
293349,51569
293352,515
293353,515
293354,515
293355,515
293359,515
293361,515
293369,515
293371,51561
293372,51561
293379,51561
293391,51569
293392,51569
293399,51569
293410,51569
293420,51569
293430,51569
293491,51569
293499,51569
293510,51571
293520,51571
293530,51571
293540,51571
293550,51571
293590,51571
293621,5411
293622,5411
293623,5411
293624,5411
293625,5411
293626,5411
293627,5411
293628,5411
293629,5411
293690,5411
293711,515
293712,515
293719,515
293721,54153
293722,54153
293723,54153
293729,54153
293750,51569
293790,54159
293810,54161
293890,54161
293911,5414
293919,5414
293920,5414
293930,5414
293941,5414
293942,5414
293943,5414
293944,5414
293949,5414
293951,5414
293959,5414
293961,5414
293962,5414
293963,5414
293969,5414
293971,5414
293979,5414
293980,515
294000,51692
294110,54131
294120,54132
