ID,Title,Parent
11249,"Spirits ard distilled alcoholic beverages, n.e.s. ; compound alcoholic preparations for the manufacture of beverages",112.4
121,Tobacco unmanufactured; tobacco refuse,12
122,"Tobacco, manufactured",12
1213,Tobacco refuse,121
1212,"Tobacco, wholly or partly stripped",121
12111,....flue,121.1
12119,....other than Virginia,121.1
12121,....flue,121.2
12129,....other than Virginia,121.2
1221,"Cigars, cheroots; cigarillos",122
1222,Cigarettes,122
1223,"Tobacco, manufactured (including smoking and chewing tobacco, snuff); tobacco extract and essences",122
21,"Hides, skins and furskins, raw",2
22,Oil seeds and oleaginous fruit,2
23,Crude rubber (including synthetic and reclaimed),2
24,Cork and wood,2
25,Pulp and waste paper,2
27,"Crude fertilizer and crude minerals (excluding coal, petroleum and precious stones)",2
28,Metalliferous ores and metal scrap,2
26,Textile fibres (not wool tops) and their wastes (not manufactured into yarn or fabric),2
29,"Crude animal and vegetable materials, n.e.s.",2
211,"Hides and skins (except furskins), raw",21
212,"Furskins, raw (including astrakhan, caracul, Persian lamb, broadtail and similar skins)",21
2518,"Chemical wood pulp, sulphite",251
2111,"Bovine and equine hides, (other than calf skims), raw (fresh, salted, dried, pickled or limed), wehether or not split",211
2116,"Sheep and lamb skin with the wool on (except astrakhan, caracul, Persian lamb, broadtail and similar skins), raw (fresh, salted, dried, pickled or limed), wehether or not split",211
2117,"Sheep and lamb skin without the wool, raw (fresh, salted, dried, pickled or limed), wehether or not split",211
2119,"Hides and skins, n.e.s.; waste and used leather",211
2112,"Calf skins, raw (fresh, salted, dried, pickled or limed), wehether or not split",211
2114,"Goat and kid skins, raw (fresh, salted, dried, pickled or limed), wehether or not split",211
21191,Parings and other waste of leather or of composition or parchment,211.9
21199,"Hides and skins n.e.s., raw (fresh, salted, dried, pickled or limed), wehether or not split",211.9
2120,"Furskins, raw (including astrakhan, caracul, Persian lamb, broadtail and similar skins)",212
21201,"Mink skins, raw",212.0
21209,"Other furskins, raw",212.0
223,"Oil seeds and oleaginous fruit, whole or broken, of a kind used for the extraction of other fixed vegetable oils (including non",22
222,"Oil seeds and oleaginous fruit, whole or broken, of a kind used for the extraction of 'soft' fixed vegetable oils (excluding flours and meals)",22
2221,"Groundnuts (peanuts), green, whether or not shelled",222
2222,Soya beans,222
2223,Cotton seeds,222
2224,Sunflower seeds,222
2225,Sesame (sesamum seeds),222
2226,Rape and colza seeds,222
2231,Copra,223
2232,Palm nuts and kernels,223
2234,Linseed,223
2235,Castor oil seeds,223
2238,"Oil seeds and oleaginous fruits, n.e.s.",223
2239,"Flour or meals of oil seeds or oleaginous fruit, non",223
233,Synthetic rubber latex; synthetic rubber and reclaimed rubber; waste and scrap of unhardened rubber,23
232,Natural rubber latex; natural rubber and similar natural gums,23
2320,Natural rubber latex; natural rubber and similar natural gums,232
23201,Natural rubber latex; whether or not with added synthetic rubber latex; pre,232.0
23202,Natural rubber (other than latex),232.0
23203,"Balata, gutta",232.0
2332,"Reclaimed rubber, waste, scrap of unhardened rubber",233
2331,Synthetic rubber latex; synthetic rubber; factice derived from oils,233
23311,Polybutadiene,233.1
23312,"Other synthetic rubber latex, whether or not pre",233.1
23313,Polybutadiene rubber (BR),233.1
23314,Polychlorobutadiene rubber (CR),233.1
23315,Polybutadiene,233.1
23316,Butyl rubber (IIR),233.1
23319,"Other synthetic rubbers, factice derived from oils",233.1
23321,Reclaimed rubber,233.2
23322,Waste and parings of unhardened rubber; scrap of unhardened rubber fit only for the recovery of rubber; powder obtained from waste of scrap of unhardened rubber,233.2
247,Other wood in the rough or roughly squared,24
248,"Wood, simply worked, and railway sleepers of wood",24
244,"Cork, natural, raw and waste (including natural cork in blocks or sheets)",24
245,Fuel wood (excluding wood waste) and wood charcoal,24
246,Pulpwood (including chips and wood waste),24
2440,"Cork, natural, raw and waste (including natural cork in blocks or sheets)",244
24401,"Cork, natual, unworked, crushed, granulated or ground; waste cork",244.0
24402,"Cork, natural, in blocks, plates, sheets or strips (incluilng cubes or square slabs cut to size for corks or stoppers)",244.0
2450,Fuel wood (excluding wood waste) and wood charcoal,245
24501,"Fuel wood, in logs, in billets, in twigs or in faggots (excluding wood waste)",245.0
24502,"Wood charcoal (including shell and nut charcoal), agglomerated or not",245.0
2460,Pulpwood (including chips and wood waste),246
24601,Pulpwood in the round or quarter,246.0
24602,Pulpwood in chips or particles,246.0
24603,Wood waste (including sawdust),246.0
2472,"Sawlogs and veneer logs, of non",247
2479,"Pitprops, poles, piling, post and other wood in the rough, n.e.s.",247
2471,"Sawlogs and veneer logs, of coniferous species",247
24711,"....in the rough, whether or not stripped of their bark or merely roughed down",247.1
24712,....roughly squared or half,247.1
24721,"....in the rough, whether or not stripped of their bark or merely roughed down",247.2
24722,"....roughly squared or half squared, but not further manufactured",247.2
2483,Wood of non,248
2481,Railway or tramway sleepers (ties) of wood,248
2482,"Wood of coniferous species, sawn, planed, tongued, grooved, etc",248
24821,"Wood of coniferous species, sawn lengthwise, sliced or peeled, but not further prepared, of a thickness exceeding 5 mm",248.2
24822,"Wood of coniferous species (including blocks, strips and friezes for parquet or wood block flooring, not assembled), planed, tongued, grooved, rebated, chamfered, V",248.2
24831,Wood of non,248.3
24832,Wood of non,248.3
251,Pulp and waste paper,25
2511,Waste paper and paperboard; scrap articles of paper or of paperboard fit only for use in paper,251
2512,Mechanical wood pulp,251
2516,"Chemical wood pulp, dissolving grades",251
2517,"Chemical wood pulp, soda or sulphate",251
25172,....bleached or semi,251.7
25171,....unbleached,251.7
25181,....unbleached,251.8
25182,....bleached or semi,251.8
25191,Semi,251.9
25192,"Pulp, other than wood pulp",251.9
261,Silk,26
263,Cotton,26
265,Vegetable textile fibres (other than cotton and jute) and waste or such fibres,26
264,"Jute and other textile bast fibres, n.e.s., raw or processed but not spun; tow and waste thereof (including pulled or garnetted rags or ropes)",26
266,Synthetic fibres suitable for spinning,26
267,Other man,26
268,Wool and other animal hair (excluding wool tops),26
269,Old clothing and other old textile articles; rags,26
2614,"Silk worm cocoons suitable for reeling and silk waste (including cocoons unsuitable for reeling, silk noils and pulled or garnetted rags)",261
2613,Raw silk (not thrown),261
26141,Silk worm cocoons suitable for reeling,261.4
26142,"Silk waste (including cocoons unsuitable for reeliag, silk noils and pulled or garnetted rags)",261.4
2631,"Cotton (other then linters), not carded or combed",263
2632,Cotton linters,263
2633,"Cotton waste (including pulled or garnetted rags), not carded or combed",263
2634,"Cotton, carded or combed",263
2640,"Jute and other textile bast fibres, n.e.s., raw or processed but not spun; tow and waste thereof (including pulled or garnetted rags or ropes)",264
2651,"Flax and ramie, flax tow, ramie noils, and waste of flax or ramie (including pulled or garnetted rags)",265
2652,"True hemp (""Cannabis sativa""), raw or processed but not spun; tow and waste of true hemp (including pulled or garnetted rags or ropes)",265
2654,"Sisal and other fibres of the agave family, raw or processed but not spun; waste of such fibres",265
2655,"Manila hemp (abaca) (""Musa textilis""), raw or processed but not spun; tow and waste of Manila hemp (including pulled or garnetted rags or ropes)",265
2659,"Vegetable textile fibres, n.e.s., and waste of such fibres",265
26511,"Flax, raw or retted",265.1
26512,"Flax, broken, scutched, hackled or otherwise processed but not spun",265.1
26513,Flax tow and waste (including pulled or garnetted rags),265.1
26514,"Ramie, raw or processed but not spun, ramie noils and waste (including pulled or garnetted rags)",265.1
26591,Coir (coconut fibres) and coir waste (including pulled or garnetted rags or ropes),265.9
26599,"Other vegetable textile fibres, n.e.s., raw or processed but not spun; waste of such fibres (including pulled or garnetted rags or ropes)",265.9
2665,"Synthetic fibres(discontinuous), not carded, combed or otherwise prepared for spinning",266
2666,Continuous filament tow for the manufacture of synthetic fibres (discontinuous),266
2667,"Synthetic fibres (discontinuous or waste), carded, combed or otherwise prepared for spinning",266
26651,....polyamide,266.5
26652,....polyester,266.5
26653,....acrylic,266.5
26659,"....other then polyamide, plyester and acrylic",266.5
26661,....of polyamide fibres,266.6
26662,....of polyester fibres,266.6
26663,....of acrylic fibres,266.6
26669,....of other synthetic fibres,266.6
26671,....polyamide,266.7
26672,....polyester,266.7
26673,....acrylic,266.7
26679,"....other then polyamide, plyester and acrylic",266.7
2672,"Waste (including yarn waste and pulled or garnetted rages), of man",267
2671,Regenerated fibre suitable for spinning,267
26711,"Regenerated fibres (discontinuous), not carded, combed or otherwise prepared for spinning",267.1
26712,Continuous filament tow for the manufacture of regenterated fibres (discontinuous),267.1
26713,"Regenerated fibres (discontinuous), carded, combed or otherwise prepared for spinning",267.1
26721,....synthetic,267.2
26722,....regenerated,267.2
2686,"Waste of sheep's or lambs' wool, or of other animal hair (fine or coarse), n.e.s.",268
2681,"Sheep's or lambs' wool, greasy or fleece",268
2682,"Sheep's or lambs' wool, degreased, whether or not bleached or dyed in the mass, not carded or combed",268
2683,"Fine animal hair, not carded or combed",268
2685,"Horsehair and other coarse animal hair (excluding wool), not carded or combed",268
2687,"Sheep's or lambs' wool or of other animal hair (fine or coarse), carded or combed (excluding wool tops)",268
26851,"Horsehair and horsehair waste, whether or not put up on a layer or between two layers of other materials",268.5
26859,"Other coarse animal hair, not carded or combed",268.5
26861,....not pulled or garnetted,268.6
26862,....pulled or garnetted (including pulled or garnetted rags),268.6
2690,Old clothing and other old textile articles; rags,269
26901,"Clothing, clothing accessories, travelling rugs and blankets, household linen and furnishing articles (other than articles falling within headings 658.91, 659.2 through 659.62), of textile materials, footwear and headgear of any material, showing signs of appreciable wear and traded in bulk or in bales, sacks or similar bulk packings",269.0
26902,"Used or new rags, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables",269.0
271,"Fertilizers, crude",27
273,"Stone, sand and gravel",27
278,Other crude minerals,27
274,Sulphur and unroasted iron pyrites,27
277,"Natural abrasives, n.e.s. (including industrial diamonds)",27
2711,"Guano and other natural animal or vegetable fertilizers, whether or not mixed together, but not chemically treated",271
2713,"Natural calcium phosphates, natural aluminium calcium phosphates, apatite and phosphatic chalk",271
2714,"Potassium salts, natural, crude",271
2712,"Sodium nitrate, natural, containing not more than 16.3% by weight of nitrogen",271
27131,....unground,271.3
27132,....ground,271.3
2731,"Building and monumental (dimension) stone, not futher worked than roughly split, roughly squared or squared by sawing",273
2733,"Sands, natural, of all kinds, whether or not coloured (other than metal",273
2734,Pebbles and crushed or broken stone (whether or not heat,273
2732,"Gypsum, plasters, limestone flux and calcareous stone commonly used for the manufacture of lime or cement",273
27311,"Slate (including slate not further worked than roughly split, roughly sqared or squared by sawing)",273.1
27312,"Marble, travertine, ecaussine and other calcareous monumental and building stone of an apparent specific gzavity of 2.5 or more and alabaster (including such stone not further worked than roughly split, roughly sqared or squared by sawing)",273.1
27313,"Granite, porphyry, basalt, sandstone, and other monumental and building stone, n.e.s. (including such stone not further worked than roughly split, roughly sqared or squared by sawing)",273.1
27322,Limestone flux and calcareous stone commonly used for the manufacture of lime or cement,273.2
27323,Gypsum and anhydrite,273.2
27324,"Calcined gypsum, and plasters with a basis of calcium sulphate, whether or not coloured, but not including plasters specially prepared for use in dentistry",273.2
2741,"Sulphur (other than sublimed, precipitated or colloidal sulphur)",274
2742,"Iron pyrites, unroasted",274
2771,"Industrial diamonds, sorted, whether or not worked",277
2772,"Natural abrasives, n.e.s.",277
27721,"Dust, powder of natural or synthetic precious or semiprecious stones",277.2
27722,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, n.e.s., whether or not heat",277.2
