HS2012,SITC2
271099,3344
271099,33429
271099,33411
271111,34139
271112,34131
271113,34131
271114,34139
271119,34139
271121,3414
271129,3414
271210,33511
271220,33512
271290,33512
271311,33542
271312,33542
271320,33541
271390,33541
271410,27896
271490,27896
271500,33543
271600,3510
280110,52213
280120,52214
280130,52214
280200,52215
280300,52218
280410,52211
280421,52211
280429,52211
280430,52211
280440,52211
280450,52212
280461,52212
280469,52212
280470,52212
280480,52212
280490,52212
280511,52217
280512,52217
280519,52217
280530,52217
280540,52216
280610,52221
280620,52221
280700,52222
280800,52223
280910,52229
280910,52224
280920,52229
280920,52224
281000,52225
281000,52229
281111,52229
281119,52229
281121,52229
281122,52229
281129,52229
281210,52231
281290,52231
281310,52232
281390,52232
281410,52251
281420,52251
281511,52252
281512,52253
281520,52254
281530,52254
281610,52255
281640,52255
281700,52241
281810,52257
281820,28732
281830,52256
281910,52242
281990,52242
282010,52243
282090,52243
282110,52244
282120,52244
282200,52245
282300,52246
282410,52247
282490,52247
282510,52259
282520,52259
282530,52259
282540,52259
282550,52259
282560,52259
282570,52259
282580,52259
282590,52259
282612,52311
282619,52311
282630,52311
282690,52311
282710,52312
282720,52312
282731,52312
282732,52312
282735,52312
282739,52312
282741,52312
282749,52312
282751,52312
282759,52312
282760,52312
282810,52313
282890,52313
282911,52314
282919,52314
282990,52314
283010,52315
283090,52315
283110,52316
283190,52316
283210,52317
283220,52317
283230,52317
283311,52318
283319,52318
283321,52319
283322,52319
283324,52319
283325,52319
283327,52319
283329,52319
283330,52319
283340,52319
283410,52321
283421,52321
283429,56299
283429,52321
283429,56214
283510,52322
283522,52322
283524,52322
283525,52322
283526,52322
283529,52322
283531,52322
283539,52322
283620,52323
283630,52324
283640,52324
283650,52324
283660,52324
283691,52324
283692,52324
283699,52324
283711,52325
283719,52325
283720,52325
283911,52327
283911,59899
283919,59899
283919,52327
283990,59899
283990,52327
284011,52328
284019,52328
284020,52328
284030,52328
284130,52331
284150,52331
284161,52331
284169,52331
284170,52331
284180,52331
284190,52331
284210,52326
284210,52329
284290,52329
284290,52326
284310,52332
284321,52332
284329,52332
284330,52332
284390,52332
284410,67169
284410,5241
284420,5241
284430,6880
284430,5241
284430,52492
284440,5241
284440,52492
284440,5331
284450,5241
284510,52491
284590,52491
284610,52492
284690,52492
284700,52391
284800,52392
284910,52393
284920,52394
284990,52394
285000,52395
285210,52322
285210,51559
285210,52321
285210,52331
285210,52325
285210,51612
285210,59224
285210,5331
285210,59222
285210,53221
285210,51621
285210,51622
285210,52312
285210,52399
285210,51572
285210,52315
285210,52326
285210,56214
285210,8821
285210,52259
285210,52329
285210,5139
285210,52332
285210,51619
285210,51569
285210,51611
285210,52319
285210,59899
285210,52392
285210,56299
285210,51551
285210,52395
285210,52394
285290,59221
285290,52325
285290,59819
285290,59224
285290,51622
285290,52399
285290,51621
285290,51612
285290,52492
285290,52322
285290,52321
285290,59222
285290,52315
285290,52312
285290,52332
285290,89595
285290,52329
285290,51559
285290,52331
285290,51569
285290,52395
285290,51611
285290,5139
285290,52326
285290,52394
285290,52319
285290,51619
285290,52259
285290,56299
285290,5331
285290,51572
285290,59899
285290,53221
285290,59897
285290,51551
285290,52392
285290,56214
285290,8821
285300,52399
290110,51119
290121,51111
290122,51112
290123,51113
290124,51113
290129,51119
290129,51113
290211,51121
290219,51129
290220,51122
290230,51123
290241,51124
290242,51124
290243,51124
290244,51124
290250,51125
290260,51126
290270,51129
290290,51129
290311,51139
290312,51139
290313,51139
290314,51139
290315,51139
290319,51139
290321,51131
290322,51132
290323,51133
290329,51139
290331,51139
290339,51139
290371,51139
290372,51139
290373,51139
290374,51139
290375,51139
290376,51139
290377,51139
290378,51139
290379,51139
290381,51139
290382,51139
290389,51139
290391,51139
290392,51139
290399,51139
290410,5114
290420,5114
290490,5114
290511,51211
290512,51212
290513,51213
290514,51213
290516,51214
290517,51219
290517,51699
290519,51699
290519,51219
290522,51219
290522,51699
290529,51699
290529,51219
290531,51215
290532,51699
290532,51119
290539,51119
290539,51699
290541,51119
290541,51699
290542,51219
290543,51219
290544,51119
290545,51218
290549,51699
290549,51119
290551,51699
290551,51119
290559,51699
290559,51119
290611,5122
290612,5122
290613,5122
290619,5122
290621,5122
290629,5122
290711,51234
290712,51235
290713,51236
290715,51236
290719,51236
290721,51236
290722,51236
290723,51236
290729,51236
290811,51237
290819,51237
290891,51237
290892,51237
290899,51237
290911,51611
290919,51611
290920,51611
290930,51611
290941,51611
290943,51611
290944,51611
290949,51611
290950,51611
290960,51611
291010,51613
291020,51614
291030,51619
291040,51619
291090,51619
291100,51612
291211,51621
291212,51621
291219,51621
291221,51621
291229,51621
291241,51621
291242,51621
291249,51621
291250,51621
291260,51621
291300,51622
291411,51623
291412,51624
291413,51629
291419,51629
291422,51629
291423,51629
291429,51629
291431,51629
291439,51629
291440,51629
291450,51629
291461,51629
291469,51629
291470,51629
291511,51379
291512,51379
291513,51379
291521,51371
291524,51379
291529,51371
291531,51372
291532,51372
291533,51372
291536,51372
291539,51372
291540,51379
291550,51379
291560,51379
291570,51379
291590,51379
291611,51379
291612,51379
291613,51373
291614,51373
291615,51379
291616,51379
291619,51379
291620,51379
291631,51379
291632,51379
291634,51379
291639,51379
291711,51384
291711,51389
291712,51389
291712,51384
291713,51384
291713,51389
291714,51381
291719,51384
291719,51389
291720,51389
291732,51383
291733,51389
291733,51384
291734,51384
291734,51389
291735,51382
291736,51384
291736,51389
291737,51384
